SMILES,full_nomenclature,monomer_structure,peptoids,short_name,type
*N(CCC(=O)O)CC(=O)*,N-(2-carboxyethyl)glycine,,{'18AC2-7-A': '/api/peptoids/18AC2-7-A'},Nce,alpha
*N(CC[N+](C)(C)C)CC(=O)*,N-(2-(N-trimethylammonium)ethyl)glycine,10.5517/ccdc.csd.cc242d9y,{'19AF1-10-A': '/api/peptoids/19AF1-10-A'},Nme3ae,alpha
*N(c1c(C(=O)OC)cccc1)CC(=O)*,N-(2-(methoxycarbonyl)phenyl)glycine,10.5517/ccy39x7,"{'11AC1-2-A': '/api/peptoids/11AC1-2-A', '11AC2-2-A': '/api/peptoids/11AC2-2-A', '11AC3-3-A': '/api/peptoids/11AC3-3-A'}",,alpha
*N(C(C(C)C))CC(=O)*,N-(sec-butyl)glycine,,{},Nleu,alpha
*N(CCO(c1nc(ccc1)c2ncccc2))CC(=O)*,"N-{2-[([2,2’-bipyridin]-6-yl)oxy]ethyl}glycine",,"{'18AB1-3-A': '/api/peptoids/18AB1-3-A', '18AB2-3-A': '/api/peptoids/18AB2-3-A', '18AB3-3-A': '/api/peptoids/18AB3-3-A', '20AA1-3-A': '/api/peptoids/20AA1-3-A', '20AA2-3-A': '/api/peptoids/20AA2-3-A', '20AA3-3-A': '/api/peptoids/20AA3-3-A', '20AA4-3-A': '/api/peptoids/20AA4-3-A'}",Nbp,alpha
*N(CCc1ccccc1)CC(=O)*,N-(2-phenylethyl)glycine,,"{'12AC1-3-A': '/api/peptoids/12AC1-3-A', '19AE1-4-A': '/api/peptoids/19AE1-4-A'}",Npe,alpha
*N(C)CC(=O)*,Sarcosine,,"{'70AA1-4-C': '/api/peptoids/70AA1-4-C', '73AA1-8-C': '/api/peptoids/73AA1-8-C', '73AB1-5-C': '/api/peptoids/73AB1-5-C', '75AA1-7-C': '/api/peptoids/75AA1-7-C', '76AA1-3-C': '/api/peptoids/76AA1-3-C', '76AB1-10-C': '/api/peptoids/76AB1-10-C', '77AA1-6-C': '/api/peptoids/77AA1-6-C', '83AA1-4-C': '/api/peptoids/83AA1-4-C', '83AB1-8-C': '/api/peptoids/83AB1-8-C'}",Sar,alpha
*N(CCC)CC(=O)*,N-propylglycine,,{'20AD1-6-C': '/api/peptoids/20AD1-6-C'},,alpha
*N(CCc1ccc(OC)cc1)CC(=O)*,N-[2-(4-methoxyphenyl)ethyl]glycine,,{'18AE1-6-C': '/api/peptoids/18AE1-6-C'},Nmpe,alpha
*N(c1cc(OC)cc(OC)c1)CC(=O)*,"N-(3,5-dimethoxyphenyl)glycine",,"{'18AE1-6-C': '/api/peptoids/18AE1-6-C', '19AF1-10-A': '/api/peptoids/19AF1-10-A'}",Ndmp,alpha
